,before,special_price,after,name,capcity_GB,RAM,processer,Colour,model,meta_keyword
13,2799,1999.0,1738.2609,أوبو رينو,‎سعة 256 جيجابايت‎,‎12 جيجابايت رام‎,‎أسود‎,,‎رينو 5 برو‎,"أوبو,أوبو رينو,CPH2207BLK,سعة 256 جيجابايت,أسود,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
14,2999,2099.0,1825.2174,آبل آيفون 11,‎64‎ GB‎,‎4‎G LTE‎,‎بنفسجي‎,,‎ايفون 11‎,"ابل,آبل آيفون 11,MHDF3AAA,64 GB,بنفسجي,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
15,2999,2099.0,1825.2174,آبل آيفون 11,‎64‎ GB‎,‎4‎G LTE‎,‎اسود‎,,‎ايفون 11‎,"ابل,آبل آيفون 11,MHDA3AAA,64 GB,اسود,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
16,2999,2099.0,1825.2174,آبل آيفون 11,‎64‎ GB‎,‎4‎G LTE‎,‎ ابيض‎,,‎ايفون 11‎,"ابل,آبل آيفون 11,MHDC3AAA,64 GB, ابيض,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
17,2999,2099.0,1825.2174,آبل آيفون 11,‎64‎ GB‎,‎4‎G LTE‎,‎أصفر‎,,‎ايفون 11‎,"ابل,آبل آيفون 11,MHDE3AAA,64 GB,أصفر,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
18,2999,2249.0,1955.6522, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎اكسينوس  2100‎,‎أخضر فاتح‎,‎جالكسي اس 21 اف اي ‎5‎G‎,"سامسونج, سامسونج) جالكسي أس),SMG990ELGGMEA,سعة 256 جيجابايت,اخضر فاتح,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
19,2999,2249.0,1955.6522, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎اكسينوس  2100‎,‎بنفسجي فاتح‎,‎جالكسي اس 21 اف اي ‎5‎G‎,"سامسونج, سامسونج) جالكسي أس),SMG990ELVGMEA,سعة 256 جيجابايت,بنفسجي فاتح,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
20,2999,2249.0,1955.6522, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎اكسينوس  2100‎,‎ ابيض‎,‎جالكسي اس 21 اف اي ‎5‎G‎,"سامسونج, سامسونج) جالكسي أس),SMG990EZWGMEA,سعة 256 جيجابايت, ابيض,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
21,2999,2249.0,1955.6522, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎اكسينوس  2100‎,‎رمادي‎,‎جالكسي اس 21 اف اي ‎5‎G‎,"سامسونج, سامسونج) جالكسي أس),SMG990EZAGMEA,سعة 256 جيجابايت,رمادي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
22,2999,2399.0,2086.087,أوبو رينو,‎سعة 256 جيجابايت‎,‎12 جيجابايت رام‎,‎ثلجي الازرق‎,,‎رينو 6 برو‎,"أوبو,أوبو رينو,CPH2247BLU,سعة 256 جيجابايت,ثلجي الازرق,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
23,2499,1699.0,1477.3913,هونر سلسلة 50,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎أسود منتصف الليل‎,50,"هونر,هونر سلسلة 50,5109ABBM,سعة 256 جيجابايت,أسود منتصف الليل,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
24,2499,1699.0,1477.3913,هونر سلسلة 50,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎لون الكريستال الصقيع‎,50,"هونر,هونر سلسلة 50,5109ABBR,سعة 256 جيجابايت,لون الكريستال الصقيع,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
25,2499,1699.0,1477.3913,هونر سلسلة 50,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎أخضر زمردي‎,50,"هونر,هونر سلسلة 50,5109ABBV,سعة 256 جيجابايت,أخضر زمردي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
